like_count,quote_count,reply_count,retweet_count,text,topic,sentiment
6,0,1,9,SA Covid &amp; vaccine social listening report 2 December. @miamalan @HealtheNews @HealthZA @marionwish @Billbobbird @HajraOmarjee @ygpillay @LindaGailBekker @Bhekisisa_MG https://t.co/HUzajogKty,vaccination,neutral
0,0,0,0,COVID-19 Pandemic Highlights Need to Assess Your Risks to Prevent Falls https://t.co/zrl04JnXV3 https://t.co/c59sSeJRDq,pandemic,neutral
7,0,10,3,"I support @RepJamesComer's Fairness for Federal Contractors Act to prohibit federal agencies from mandating COVID-19 vaccines for employees of federal (sub)contractors.

It also requires GAO to study the impact of these mandates on safety, job loss, and supply chain. https://t.co/FETVEqmer5",vaccination,negative
2,0,0,1,A third vaccine dose provides additional protection against #COVID19 and is recommended for people with certain medical conditions or who receive treatments that weaken their immune system. Learn more from @NYCHealthSystem: https://t.co/GcP72X1wRP https://t.co/YzzZ1X1AnT,vaccination,positive
0,0,1,0,Vaccine Passports are the way forward look at the south they are doing so well since introducing them 5 months ago !! https://t.co/Jn0ftwjGLM,restrictions,positive
3,0,1,0,Are they telling me that if you're outside the country for less than 14 days then you can't catch covid???????? 😂😂😂😂😂😂 who the hell is coming up with these ridiculous guidelines? https://t.co/wphs1XWhT2,travel,negative
0,0,0,0,"In response to the challenges created by COVID-19, volunteerism has taken new forms. Here are some ways you can safely volunteer. https://t.co/ZfIMV0LsUQ #volunteer https://t.co/P7y0V3ZeGi",pandemic,positive
0,0,0,0,"In response to the challenges created by COVID-19, volunteerism has taken new forms. Here are some ways you can safely volunteer. https://t.co/wIOpA7SJU9 #volunteer https://t.co/2SdJTxVHJ5",pandemic,positive
0,0,0,0,"FANNATION
J.J. Redick Accuses Kawhi Leonard of Travelling During The Shot

By Aaron Rose

#WeTheNorth #RTZ
https://t.co/gibb7GKAJr",other,neutral
1,0,0,0,"NB Covid restrictions: you’re in green, but also circuit breaker, but ALSO level 1. Make it make sense",restrictions,negative
0,0,0,0,Study finds Covid Vaccines increase the risk of Heart Attack by 127% – The Expose https://t.co/YqiwqwL0Jk,vaccination,negative
0,0,0,0,EXCLUSIVE... Lawrence Sellin: Evidence Indicates COVID-19 is a Designed Bioweapon with a Toxic Structure that MAY BE REPLICATED IN VACCINES https://t.co/IGlFvXssUq via @gatewaypundit,conspiracy theories,negative
0,0,0,0,Slovakia's COVID-19 case record inflated by system glitch https://t.co/Yo1sUncTZS,pandemic,neutral
1,0,0,0,ngl thought i had covid bc i've been losing appetite lately but then i remember that you usually lose your sense of taste and smell but i can still taste the chocolate i had jn so we good 😃👍,COVID,neutral
1,0,0,0,"Our Mobile Vaccination Van will be at the Pleasant Hill Baptist Church (155 Humboldt Avenue, Boston, MA 02120) for a FLU vaccination clinic from 10am until 4pm today. #FluSeason #FluClinic #FluVaccine #Whittier #CommunityHealth @MIRACoalition @HealthyBoston @HRSAgov @MassDPH https://t.co/cjd8X6ybvu",other,neutral
1,0,0,1,"I wonder which country, as opposed to simply the producer, their vaccine comes from? https://t.co/FzNqGznDYr",vaccination,negative
0,0,0,0,"Weekly Roundup:
- Omicron: Increased Covid restrictions across Europe. 
-Employment: US job growth slows sharply in Nov. 
- Exchanges: China's Didi to delist from NYSE. 
- Social: Twitter Founder-CEO Jack Dorsey steps down.",pandemic,neutral
0,0,1,0,It wasn't really. I think it's more of disappointment from the left. We all know this vaccine business has gone political so the idea that Rodgers who moves like a liberal held such views was really disappointing for most https://t.co/iiLjyIYKof,vaccination,negative
0,0,0,0,Since #FraudFauci is concerned about saving lives someone ask him why he doesn’t promote therapeutics? Oh snap! Perhaps because our government heavily invested in Moderna mRNA vax.,vaccination,negative
1,0,0,0,"Hear from some local Maine brewery owners on why the COVID-19 vaccination is important to them!

https://t.co/55UP4rcMdM",vaccination,positive
0,0,0,0,"(#Premiere) THE SLY SHOW S17E84 -- FIRST Three Cases of Omicron Were Fully Vaxxed, Kyle Rittenhouse Is Bending His Knee , Dr Oz Is Lying, Dana White Gets Over Covid With Ivermectin, Never Apologize To The Libs, Pittsburg Pirates Head To Bakersfield: https://t.co/XYVAhEcdzH",vaccination,negative
